NUM_DEP;NOM_COM;CD_ME_niv1_surf;CD_ME_v2;CD_STATION;INDEX_STATION;NUM_COM;codagence;ALTITUDE;PROFONDEUR_MAXI_POINT;reseau2009;reseau2010;reseau2011;reseau2012;reseau2013;reseau2014;fi_ma_2007;fi_ma_2008;fi_ma_2009;fi_ma_2010;fi_ma_2011;fi_ma_2012;fi_ma_2013;fi_ma_2014;CD_STATION_;LAT_WSG84;LONG_WSG84
70;BOULIGNEY;DG202;DG202;04102X0024/S;9954;70083;AERM&C;231.0;;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;;;;;;;oui;;04102X0024/S;6.2483460967;47.8970151156
70;BOULIGNEY;DG217;DG217;03756X0009/S;9953;70083;AERM&C;275.0;;Hors RCS et RCO;;;;;;oui;;oui;;;;;;03756X0009/S;6.27534536813;47.9230773241
70;BOULT;DG123;;04727X0013/S;9955;70085;AERM&C;285.0;;Hors RCS et RCO;;;;;;oui;;;;;;;;04727X0013/S;6.02730289226;47.3964677972
70;BOULT;DG123;DG123;04727X0014/S;9956;70085;AERM&C;243.0;;Hors RCS et RCO;;;;;;oui;;;;;;;;04727X0014/S;6.02161656313;47.3891086613
70;BOURGUIGNON-LES-LA-CHARITE;DG123;DG123;04723X0010/S;9957;70088;AERM&C;250.0;;Hors RCS et RCO;;;;;;;oui;oui;;;;;;04723X0010/S;5.9765032752;47.5076080352
70;BREUCHES;DG391;DG391;04103X0068/PN;9958;70093;AERM&C;249.0;;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;oui;oui;;oui;;oui;;04103X0068/PN;6.34720376799;47.7976700562
70;BREUCHES;DG391;DG391;04107X0017/P1;9959;70093;AERM&C;256.0;6;Hors RCS et RCO;;;;;;oui;;oui;;;;;;04107X0017/P1;6.35221075811;47.7957102447
70;BREUCHOTTE;DG217;DG217;04104X0033/S;9960;70094;AERM&C;373.0;;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;;;;;;;oui;;04104X0033/S;6.46604075253;47.8205612917
70;BREUCHOTTE;DG500;DG217;04104X0034/S;9961;70094;AERM&C;375.0;;Hors RCS et RCO;;;;;;;;oui;;;;;;04104X0034/S;6.47148070622;47.8275204756
70;BRUSSEY;DG315;DG315;05021X0044/P;9962;70102;AERM&C;204.0;;Hors RCS et RCO;;;;;;oui;;;;;;;;05021X0044/P;5.80000578414;47.2908848133
70;BUCEY-LES-GY;DG123;;04726X0005/S;9963;70104;AERM&C;221.0;;Hors RCS et RCO;;;;;;oui;;oui;;;;;;04726X0005/S;5.882115339;47.3828542691
70;BUCEY-LES-GY;DG123;DG123;04726X0011/S;9964;70104;AERM&C;224.0;;RCO Seul;RCOseul;RCOseul;RCOseul;RCOseul;RCOseul;;oui;oui;oui;oui;oui;oui;oui;04726X0011/S;5.88728055101;47.4007926049
70;BUSSIERES;DG123;DG123;04727X0019/S;9965;70107;AERM&C;235.0;;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;;;;;;;;04727X0019/S;5.99323187646;47.3483369537
